id;quantite;date_commande;date_livraison;status
1;14521;2023-11-08T14:27:53;2023-11-08T16:41:10;true
2;1478;2023-11-08T12:34:29;2023-11-09T06:40:00;true
3;18702;2023-11-08T17:00:13;2023-11-09T08:54:12;true
4;22681;2023-11-09T02:34:25;2023-11-09T08:51:31;false
5;23475;2023-11-09T01:50:37;2023-11-08T22:41:38;false
6;25234;2023-11-08T16:43:16;2023-11-08T20:43:46;false
7;13751;2023-11-08T15:22:22;2023-11-08T18:44:13;true
8;6757;2023-11-08T13:24:10;2023-11-09T01:37:30;false
9;31375;2023-11-08T20:47:30;2023-11-09T03:14:40;false
10;13401;2023-11-09T05:20:07;2023-11-08T19:44:48;true
