id;stock;nom;taille;couleur;prix
1;27916;combattre d’autant que;1686;parlementaire;23893.32
2;10634;du moment que ouah;11370;ding atchoum lectorat;20902.64
3;3304;sans que à moins de sauf;28334;téméraire;15447.16
4;30077;mieux errer méditer;7900;personnel peut-être;30236.14
5;7184;en guise de;15736;gai tsoin-tsoin conseil municipal;9605.17
6;12779;clientèle puis quant à;16996;édifier;27508.93
7;20621;splendide;17827;touchant sus jusqu’à ce que;26484.94
8;21581;si bien que de peur que;28384;adepte drelin;6472.22
9;11355;plouf;2551;touriste en faveur de;25934.05
10;8332;relire guide;31171;vraiment tant équipe;21793.48
